architecture.architectural_style.architects	architecture.architect.architectural_style
architecture.architect.architectural_style	architecture.architectural_style.architects
book.serialized_work.serial_installments	book.serial_installment.serialized_work
book.serial_installment.serialized_work	book.serialized_work.serial_installments
user.szaijan.fantasy_football.player.projection	user.szaijan.fantasy_football.projection.player
user.szaijan.fantasy_football.projection.player	user.szaijan.fantasy_football.player.projection
fictional_universe.fictional_calendar_system.preceded_by	fictional_universe.fictional_calendar_system.replaced_with
fictional_universe.fictional_calendar_system.replaced_with	fictional_universe.fictional_calendar_system.preceded_by
base.motorcycle.motorcycle_model_year.video_s	base.motorcycle.motorcycle_video.model_year
base.motorcycle.motorcycle_video.model_year	base.motorcycle.motorcycle_model_year.video_s
user.arachnid.a_tale_in_the_desert_tech_tree.building.upgrades	user.arachnid.a_tale_in_the_desert_tech_tree.building_upgrade.buildings
user.arachnid.a_tale_in_the_desert_tech_tree.building_upgrade.buildings	user.arachnid.a_tale_in_the_desert_tech_tree.building.upgrades
military.military_conflict.combatants	military.military_combatant_group.conflict
military.military_combatant_group.conflict	military.military_conflict.combatants
base.abcbirds.conservation_project.contains_project_s	base.abcbirds.conservation_project.included_within_project
base.abcbirds.conservation_project.included_within_project	base.abcbirds.conservation_project.contains_project_s
user.alexander.philosophy.subject.philosophers	user.alexander.philosophy.philosopher.interests
user.alexander.philosophy.philosopher.interests	user.alexander.philosophy.subject.philosophers
base.bioventurist.technology_class.patents	base.bioventurist.patent.technology_involved
base.bioventurist.patent.technology_involved	base.bioventurist.technology_class.patents
user.pumpkin.default_domain.data_structure_operation.data_structure	base.computerscience.data_structure.operations
base.computerscience.data_structure.operations	user.pumpkin.default_domain.data_structure_operation.data_structure
base.locations.continents.countries_within	base.locations.countries.continent
base.locations.countries.continent	base.locations.continents.countries_within
travel.transport_terminus.travel_destinations_served	travel.transportation.transport_terminus
travel.transportation.transport_terminus	travel.transport_terminus.travel_destinations_served
base.damsbase.dam_destruction_method.dams_destroyed_by_this_method	base.damsbase.dam_failure.cause_of_failure
base.damsbase.dam_failure.cause_of_failure	base.damsbase.dam_destruction_method.dams_destroyed_by_this_method
base.movietheatres.type_of_movie_theatre_cinema.movie_theatres_of_this_type	base.movietheatres.movie_theatre.type_of_movietheatre
base.movietheatres.movie_theatre.type_of_movietheatre	base.movietheatres.type_of_movie_theatre_cinema.movie_theatres_of_this_type
base.articleindices.article_category.articles_in_this_category	base.articleindices.index_item.article_category
base.articleindices.index_item.article_category	base.articleindices.article_category.articles_in_this_category
base.aubreymaturin.real_person.characters_based_on_this_person	base.aubreymaturin.character.based_on
base.aubreymaturin.character.based_on	base.aubreymaturin.real_person.characters_based_on_this_person
chemistry.element_discoverer.discovered	chemistry.chemical_element.discoverer
chemistry.chemical_element.discoverer	chemistry.element_discoverer.discovered
base.sa2base.sa2_textual.description_for_driver	base.sa2base.sa2_archdriver.description
base.sa2base.sa2_archdriver.description	base.sa2base.sa2_textual.description_for_driver
base.sa2base.sa2_textual.description_for_cs	base.sa2base.sa2_concrete_scenario.description
base.sa2base.sa2_concrete_scenario.description	base.sa2base.sa2_textual.description_for_cs
music.live_album.concert	music.concert.concert_recording
music.concert.concert_recording	music.live_album.concert
base.litcentral.focal_location.species_habitat_relationships	base.litcentral.source_feature_taxa.location
base.litcentral.source_feature_taxa.location	base.litcentral.focal_location.species_habitat_relationships
medicine.diagnostic_sign.tests	medicine.diagnostic_test_signs.sign
medicine.diagnostic_test_signs.sign	medicine.diagnostic_sign.tests
base.horticulture.hardiness_zone.hardy_from_plants	base.horticulture.cultured_plant.min_hardiness_zone
base.horticulture.cultured_plant.min_hardiness_zone	base.horticulture.hardiness_zone.hardy_from_plants
base.folklore.mythology.referenced_location_s	base.folklore.location_in_mythology.mythology
base.folklore.location_in_mythology.mythology	base.folklore.mythology.referenced_location_s
chemistry.chemical_compound.classifications	chemistry.chemical_classification.chemicals_of_this_type
chemistry.chemical_classification.chemicals_of_this_type	chemistry.chemical_compound.classifications
base.militaryinfiction.location_in_fiction.events	base.militaryinfiction.event_in_fiction.location
base.militaryinfiction.event_in_fiction.location	base.militaryinfiction.location_in_fiction.events
base.services.exercise_facilities.fitness_center	base.services.health_club.exercise_facilites
base.services.health_club.exercise_facilites	base.services.exercise_facilities.fitness_center
medicine.medical_trial_type.medical_trials	medicine.medical_trial.type_of_trial
medicine.medical_trial.type_of_trial	medicine.medical_trial_type.medical_trials
film.music_contributor.film	film.film.music
film.film.music	film.music_contributor.film
base.schemastaging.heya_wrestler_relationship.wrestler	base.schemastaging.sumo_wrestler.heya
base.schemastaging.sumo_wrestler.heya	base.schemastaging.heya_wrestler_relationship.wrestler
government.government_issued_permit.issuing_service	government.government_service.issues_permit
government.government_service.issues_permit	government.government_issued_permit.issuing_service
aviation.airport.airlines	aviation.airline_airport_presence.airport
